1192	3431	1
222	7410	10
106	8290	11
13384	2940	9
1244	7532	30
7	9635	5
121	1448	4
27716	22	21
19514	8545	0
709	1902	5
301	590	3
111	8124	5
107	6273	5
308	2741	31
1095	9963	12
2528	7703	0
21996	5952	14
103	4441	14
27383	2498	1
259	6853	25
545	9077	0
3049	1884	28
121	38	4
150	4617	10
6125	3765	23
23505	6040	23
107	4101	30
62	7718	30
101	9335	4
291	976	12
103	8986	31
14	5350	36
103	5427	6
105	5948	10
3812	6496	20
7	2243	25
462	3045	5
128	5983	0
105	7672	19
101	2326	12
107	5025	20
104	5372	6
2408	5455	16
189	3495	9
113	6006	4
359	1762	30
7353	7104	38
9	5643	15
794	6277	14
169	4886	0
3620	1233	28
219	6809	9
107	4227	8
2205	3302	2
184	6366	18
101	6749	4
101	5810	3
118	5842	17
111	1430	10
117	3099	26
117	6745	16
107	4001	17
12	4311	7
106	1701	4
116	6009	23
109	9314	2
103	5200	12
8	5743	9
8427	6104	10
13345	9574	4
486	3503	1
24693	3258	8
311	4179	1
2370	7455	29
1054	9465	16
103	756	11
2825	5822	3
106	2889	18
104	3633	16
5963	5952	28
104	1296	21
124	5025	29
3511	4412	24
14	2396	11
2211	2227	25
3269	5310	24
14	920	18
116	3955	1
12	9111	7
28133	9412	4
708	4393	6
1458	7761	0
11702	5971	4
167	826	0
240	2319	2
308	948	3
204	3402	3
176	655	7
181	2013	25
3882	8712	26
753	2312	4
360	5877	16
117	369	26
472	9429	1
2232	6425	6
22225	4774	11
12	2586	17
14	578	35
26066	7823	9
126	4728	3
